target_method,graph_coverage,graph_coverage_info
org.jblas.ComplexDoubleMatrix.findIndices.589,1.0,"NodeCoverage [id=2, node[7,IF_ICMPGE,line 590], decis={node[16,ILOAD_1,line 594],node[8,ALOAD_0,line 591]}, covered=true, coveredBranches={16,8}]
NodeCoverage [id=6, node[12,IFNE,line 591], decis={node[14,IINC,line 590],node[13,IINC,line 592]}, covered=true, coveredBranches={14,13}]
NodeCoverage [id=11, node[26,IF_ICMPGE,line 597], decis={node[39,ALOAD_2,line 601],node[27,ALOAD_0,line 598]}, covered=true, coveredBranches={27,39}]
NodeCoverage [id=15, node[31,IFNE,line 598], decis={node[37,IINC,line 597],node[32,ALOAD_2,line 599]}, covered=true, coveredBranches={32,37}]"
org.jblas.ComplexDoubleMatrix.toString.941,1.0,"NodeCoverage [id=6, node[13,IF_ICMPGE,line 945], decis={node[51,ALOAD_1,line 955],node[14,ICONST_0,line 946]}, covered=true, coveredBranches={14,51}]
NodeCoverage [id=9, node[19,IF_ICMPGE,line 946], decis={node[39,ILOAD_2,line 951],node[20,ALOAD_1,line 947]}, covered=true, coveredBranches={20,39}]
NodeCoverage [id=14, node[32,IF_ICMPGE,line 948], decis={node[37,IINC,line 946],node[33,ALOAD_1,line 949]}, covered=true, coveredBranches={33,37}]
NodeCoverage [id=20, node[44,IF_ICMPGE,line 951], decis={node[49,IINC,line 945],node[45,ALOAD_1,line 952]}, covered=true, coveredBranches={45,49}]"
org.jblas.ComplexDoubleMatrix.ensureResultLength.1011,0.8333333333333334,"NodeCoverage [id=2, node[3,IFNE,line 1011], decis={node[21,RETURN,line 1016],node[4,ALOAD_2,line 1012]}, covered=true, coveredBranches={21,4}]
NodeCoverage [id=4, node[6,IF_ACMPEQ,line 1012], decis={node[10,NEW,line 1013],node[7,ALOAD_2,line 1012]}, covered=true, coveredBranches={7}]
NodeCoverage [id=6, node[9,IF_ACMPNE,line 1012], decis={node[15,ALOAD_2,line 1014],node[10,NEW,line 1013]}, covered=true, coveredBranches={10,15}]"
org.jblas.ComplexDoubleMatrix.addi.1020,1.0,"NodeCoverage [id=2, node[2,IFEQ,line 1020], decis={node[9,ALOAD_0,line 1023],node[3,ALOAD_0,line 1021]}, covered=true, coveredBranches={9,3}]
NodeCoverage [id=13, node[18,IF_ACMPNE,line 1026], decis={node[25,ALOAD_2,line 1028],node[19,GETSTATIC,line 1027]}, covered=true, coveredBranches={19,25}]
NodeCoverage [id=19, node[27,IF_ACMPNE,line 1028], decis={node[34,ALOAD_0,line 1031],node[28,GETSTATIC,line 1029]}, covered=true, coveredBranches={28,34}]"
org.jblas.ComplexDoubleMatrix.subi.1053,1.0,"NodeCoverage [id=2, node[2,IFEQ,line 1053], decis={node[9,ALOAD_0,line 1056],node[3,ALOAD_0,line 1054]}, covered=true, coveredBranches={9,3}]
NodeCoverage [id=13, node[18,IF_ACMPNE,line 1059], decis={node[25,ALOAD_2,line 1061],node[19,GETSTATIC,line 1060]}, covered=true, coveredBranches={19,25}]
NodeCoverage [id=19, node[27,IF_ACMPNE,line 1061], decis={node[38,ALOAD_0,line 1066],node[28,GETSTATIC,line 1062]}, covered=true, coveredBranches={28,38}]"
org.jblas.ComplexDoubleMatrix.mmuli.1139,0.8571428571428571,"NodeCoverage [id=2, node[2,IFEQ,line 1139], decis={node[9,ALOAD_0,line 1143],node[3,ALOAD_0,line 1140]}, covered=true, coveredBranches={3,9}]
NodeCoverage [id=11, node[16,IF_ICMPNE,line 1144], decis={node[22,ALOAD_2,line 1145],node[17,ALOAD_2,line 1144]}, covered=true, coveredBranches={17,22}]
NodeCoverage [id=13, node[21,IF_ICMPEQ,line 1144], decis={node[40,ALOAD_2,line 1151],node[22,ALOAD_2,line 1145]}, covered=true, coveredBranches={22,40}]
NodeCoverage [id=15, node[24,IF_ACMPEQ,line 1145], decis={node[35,NEW,line 1148],node[25,ALOAD_2,line 1145]}, covered=true, coveredBranches={25}]
NodeCoverage [id=17, node[27,IF_ACMPEQ,line 1145], decis={node[35,NEW,line 1148],node[28,ALOAD_2,line 1146]}, covered=true, coveredBranches={35,28}]
NodeCoverage [id=22, node[42,IF_ACMPEQ,line 1151], decis={node[46,NEW,line 1155],node[43,ALOAD_2,line 1151]}, covered=true, coveredBranches={43,46}]
NodeCoverage [id=24, node[45,IF_ACMPNE,line 1151], decis={node[66,GETSTATIC,line 1160],node[46,NEW,line 1155]}, covered=true, coveredBranches={66}]"
org.jblas.MatrixFunctions.powi.260,1.0,"NodeCoverage [id=1, node[3,IFNE,line 260], decis={node[8,ICONST_0,line 263],node[4,ALOAD_0,line 261]}, covered=true, coveredBranches={8,4}]
NodeCoverage [id=7, node[13,IF_ICMPGE,line 263], decis={node[25,ALOAD_0,line 265],node[14,ALOAD_0,line 264]}, covered=true, coveredBranches={25,14}]"
org.jblas.MatrixFunctions.powi.691,1.0,"NodeCoverage [id=1, node[3,IFNE,line 691], decis={node[8,ICONST_0,line 694],node[4,ALOAD_0,line 692]}, covered=true, coveredBranches={8,4}]
NodeCoverage [id=7, node[13,IF_ICMPGE,line 694], decis={node[28,ALOAD_0,line 696],node[14,ALOAD_0,line 695]}, covered=true, coveredBranches={14,28}]"
org.jblas.JavaBlas.rswap.61,0.9166666666666666,"NodeCoverage [id=1, node[2,IF_ICMPNE,line 61], decis={node[32,ICONST_0,line 70],node[3,ILOAD,line 61]}, covered=true, coveredBranches={3,32}]
NodeCoverage [id=3, node[5,IF_ICMPNE,line 61], decis={node[32,ICONST_0,line 70],node[6,ILOAD_2,line 61]}, covered=true, coveredBranches={6,32}]
NodeCoverage [id=5, node[7,IFNE,line 61], decis={node[32,ICONST_0,line 70],node[8,ILOAD,line 61]}, covered=true, coveredBranches={8,32}]
NodeCoverage [id=7, node[9,IFNE,line 61], decis={node[32,ICONST_0,line 70],node[10,ICONST_0,line 63]}, covered=true, coveredBranches={10,32}]
NodeCoverage [id=10, node[14,IF_ICMPGE,line 63], decis={node[31,GOTO,line 63],node[15,ALOAD_1,line 64]}, covered=true, coveredBranches={15,31}]
NodeCoverage [id=16, node[40,IF_ICMPGE,line 70], decis={node[65,RETURN,line 76],node[41,ALOAD_1,line 71]}, covered=true, coveredBranches={65}]"
org.jblas.JavaBlas.rcopy.80,1.0,"NodeCoverage [id=1, node[1,IFLT,line 80], decis={node[12,NEW,line 81],node[2,ILOAD_2,line 80]}, covered=true, coveredBranches={2,12}]
NodeCoverage [id=3, node[11,IF_ICMPLT,line 80], decis={node[40,ILOAD,line 83],node[12,NEW,line 81]}, covered=true, coveredBranches={40,12}]
NodeCoverage [id=28, node[41,IFLT,line 83], decis={node[52,NEW,line 84],node[42,ILOAD,line 83]}, covered=true, coveredBranches={42,52}]
NodeCoverage [id=30, node[51,IF_ICMPLT,line 83], decis={node[80,ILOAD_3,line 86],node[52,NEW,line 84]}, covered=true, coveredBranches={80,52}]
NodeCoverage [id=55, node[82,IF_ICMPNE,line 86], decis={node[93,ICONST_0,line 89],node[83,ILOAD,line 86]}, covered=true, coveredBranches={93,83}]
NodeCoverage [id=57, node[85,IF_ICMPNE,line 86], decis={node[93,ICONST_0,line 89],node[86,ALOAD_1,line 87]}, covered=true, coveredBranches={86,93}]
NodeCoverage [id=64, node[101,IF_ICMPGE,line 89], decis={node[118,RETURN,line 93],node[102,ALOAD,line 90]}, covered=true, coveredBranches={102,118}]"
