target_method,graph_coverage,graph_coverage_info
javax.measure.DecimalMeasure.valueOf.80,-1.0,
javax.measure.DecimalMeasure.to.144,-1.0,
javax.measure.converter.MultiplyConverter.concatenate.66,-1.0,
javax.measure.converter.RationalConverter.concatenate.87,-1.0,
javax.measure.unit.Unit.root.434,-1.0,
javax.measure.unit.Unit.pow.450,-1.0,
javax.measure.unit.ProductUnit.getInstance.84,-1.0,
javax.measure.unit.ProductUnit.equals.291,-1.0,
javax.measure.unit.ProductUnit.toStandardUnit.352,-1.0,
javax.measure.unit.ProductUnit.hasOnlyStandardUnit.382,-1.0,
org.jscience.JScience.main.95,1.0,"NodeCoverage [id=5, node[8,IFLE,line 97], decis={node[35,GETSTATIC,line 109],node[9,ALOAD_0,line 98]}, covered=true, coveredBranches={35,9}]
NodeCoverage [id=8, node[14,IFEQ,line 98], decis={node[19,ALOAD_0,line 101],node[15,GETSTATIC,line 99]}, covered=true, coveredBranches={19,15}]
NodeCoverage [id=14, node[24,IFEQ,line 101], decis={node[27,ALOAD_0,line 104],node[25,INVOKESTATIC,line 102]}, covered=true, coveredBranches={25,27}]
NodeCoverage [id=19, node[32,IFEQ,line 104], decis={node[35,GETSTATIC,line 109],node[33,INVOKESTATIC,line 105]}, covered=true, coveredBranches={35,33}]"
org.jscience.JScience.endTime.643,0.875,"NodeCoverage [id=2, node[14,IFLE,line 647], decis={node[20,LLOAD_3,line 650],node[15,LDC_W,line 648]}, covered=true, coveredBranches={15,20}]
NodeCoverage [id=13, node[65,IF_ICMPGE,line 664], decis={node[83,GETSTATIC,line 667],node[66,ALOAD,line 665]}, covered=true, coveredBranches={83,66}]
NodeCoverage [id=22, node[23,IFLE,line 650], decis={node[29,LLOAD_3,line 653],node[24,LDC_W,line 651]}, covered=true, coveredBranches={24,29}]
NodeCoverage [id=25, node[32,IFLE,line 653], decis={node[38,LDC_W,line 657],node[33,LDC_W,line 654]}, covered=true, coveredBranches={38}]"
org.jscience.geography.coordinates.UTM.getOrdinate.290,1.0,"NodeCoverage [id=1, node[1,IFNE,line 290], decis={node[14,ILOAD_1,line 293],node[2,GETSTATIC,line 291]}, covered=true, coveredBranches={14,2}]
NodeCoverage [id=11, node[16,IF_ICMPNE,line 293], decis={node[29,NEW,line 297],node[17,GETSTATIC,line 294]}, covered=true, coveredBranches={17,29}]"
org.jscience.geography.coordinates.UTM.getLatitudeZone.330,0.9285714285714286,"NodeCoverage [id=2, node[2,IFEQ,line 330], decis={node[13,ALOAD_0,line 337],node[3,ALOAD_0,line 331]}, covered=true, coveredBranches={3,13}]
NodeCoverage [id=6, node[8,IFGE,line 331], decis={node[11,BIPUSH,line 334],node[9,BIPUSH,line 332]}, covered=true, coveredBranches={9,11}]
NodeCoverage [id=11, node[15,IFEQ,line 337], decis={node[26,ALOAD_0,line 344],node[16,ALOAD_0,line 338]}, covered=true, coveredBranches={16,26}]
NodeCoverage [id=15, node[21,IFGE,line 338], decis={node[24,BIPUSH,line 341],node[22,BIPUSH,line 339]}, covered=true, coveredBranches={24}]
NodeCoverage [id=21, node[42,IF_ICMPLE,line 346], decis={node[48,ILOAD_2,line 349],node[43,ILOAD_2,line 347]}, covered=true, coveredBranches={48,43}]
NodeCoverage [id=24, node[50,IF_ICMPLE,line 349], decis={node[56,ILOAD_2,line 352],node[51,ILOAD_2,line 350]}, covered=true, coveredBranches={51,56}]
NodeCoverage [id=27, node[58,IF_ICMPLE,line 352], decis={node[61,ILOAD_2,line 355],node[59,BIPUSH,line 353]}, covered=true, coveredBranches={61,59}]"
